# conf-name,group-name,topo,ptf_image_name,ptf_ip,server,vm_base,dut,comment
r-boxer-sw01-t0,vm-t1,t0,docker-ptf-mlnx,10.213.88.5/16,server_9,VM0901,r-boxer-sw01,Mellanox MTR testbed
r-boxer-sw01-t1,vm-t1,t1,docker-ptf-mlnx,10.213.88.5/16,server_9,VM0901,r-boxer-sw01,Mellanox MTR testbed
r-boxer-sw01-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,10.213.88.5/16,server_9,VM0901,r-boxer-sw01,Mellanox MTR testbed
r-boxer-sw01-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.213.88.5/16,server_9,VM0901,r-boxer-sw01,Mellanox MTR testbed

r-anaconda-10-t0,vm-t1,t0,docker-ptf-mlnx,10.213.103.5/16,server_11,VM1101,r-anaconda-10,Mellanox MTR testbed
r-anaconda-10-t1,vm-t1,t1,docker-ptf-mlnx,10.213.103.5/16,server_11,VM1101,r-anaconda-10,Mellanox MTR testbed
r-anaconda-10-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,10.213.103.5/16,server_11,VM1101,r-anaconda-10,Mellanox MTR testbed
r-anaconda-10-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.213.103.5/16,server_11,VM1101,r-anaconda-10,Mellanox MTR testbed

r-tigris-04-t0,vm-t1,t0,docker-ptf-mlnx,10.213.104.5/16,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1,vm-t1,t1,docker-ptf-mlnx,10.213.104.5/16,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,10.213.104.5/16,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.213.104.5/16,server_12,VM1201,r-tigris-04,Mellanox MTR testbed

arc-mtbc-1001-t0,vm-t1,t0,docker-ptf-mlnx,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed
arc-mtbc-1001-t1,vm-t1,t1,docker-ptf-mlnx,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed
arc-mtbc-1001-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed
arc-mtbc-1001-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.112.206.220/24,server_5,VM0501,arc-mtbc-1001,Mellanox MTBC testbed

mtbc-sonic-01-2410-t0,vm-t1,t0,docker-ptf-mlnx,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed
mtbc-sonic-01-2410-t1,vm-t1,t1,docker-ptf-mlnx,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed
mtbc-sonic-01-2410-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed
mtbc-sonic-01-2410-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.112.207.41/24,server_8,VM0801,mtbc-sonic-01-2410,Mellanox MTBC testbed

mtbc-sonic-03-2700-t0,vm-t1,t0,docker-ptf-mlnx,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed
mtbc-sonic-03-2700-t1,vm-t1,t1,docker-ptf-mlnx,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed
mtbc-sonic-03-2700-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed
mtbc-sonic-03-2700-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.112.207.38/24,server_10,VM1001,mtbc-sonic-03-2700,Mellanox MTBC testbed

dev-r-vrt-232-005-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.212.232.6/16,server_50,VM5001,dev-r-vrt-232-005,Mellanox MTR SimX testbed
dev-r-vrt-232-007-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.212.232.8/16,server_51,VM5101,dev-r-vrt-232-007,Mellanox MTR SimX testbed

dev-r-vrt-233-005-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.212.233.6/16,server_52,VM5201,dev-r-vrt-233-005,Mellanox MTR SimX testbed
dev-r-vrt-233-007-ptf32,vm-t1,ptf32,docker-ptf-mlnx,10.212.233.8/16,server_53,VM5301,dev-r-vrt-233-007,Mellanox MTR SimX testbed

ptf1,ptf1,ptf32,docker-ptf,10.213.84.41/24,server_1,,arc-switch1038,Tests ptf
ptf1-m,ptf1,ptf32,docker-ptf-sai-mlnx,10.255.0.188/24,server_1,,str-msn2700-01,Test ptf Mellanox
ptf2-b,ptf2,ptf64,docker-ptf-sai-brcm,10.255.0.189/24,server_1,,lab-s6100-01,Test ptf Broadcom

arc-switch1029-fastreboot,ptf-1029,t0,vm-t1,10.213.84.98/16,server_4,VM0401,arc-switch1029,Mellanox MTR testbed
arc-switch1041-fastreboot,ptf-1041,t0,vm-t1,10.213.86.93/16,server_3,VM0301,arc-switch1041,Mellanox MTR testbed
arc-switch1038-fastreboot,ptf-1038,t0,vm-t1,10.213.84.41/16,server_1,VM0101,arc-switch1038,Mellanox MTR testbed
arc-switch1025-fastreboot,ptf-1025,t0,vm-t1,10.213.84.213/16,server_6,VM0601,arc-switch1025,Mellanox MTR testbed
arc-switch1004-fastreboot,ptf-1004,t0,vm-t1,10.213.80.153/16,server_7,VM0701,arc-switch1004,Mellanox MTR testbed
r-anaconda-10-fastreboot,ptf-r-anaconda-10,t0,vm-t1,10.213.103.5/16,server_11,VM1101,r-anaconda-10,Mellanox MTR testbed
r-tigris-04-fastreboot,ptf-r-tigris-04,t0,vm-t1,10.213.104.5/16,server_12,VM1201,r-tigris-04,Mellanox MTR testbed

vms-sn2700-t1,vms1-1,t1,docker-ptf-sai-mlnx,10.255.0.178/24,server_1,VM0100,str-msn2700-01,Tests Mellanox SN2700 vms
vms-sn2700-t1-lag,vms1-1,t1-lag,docker-ptf-sai-mlnx,10.255.0.178/24,server_1,VM0100,str-msn2700-01,Tests Mellanox SN2700 vms
vms-sn2700-t0,vms1-1,t0,docker-ptf-sai-mlnx,10.255.0.178/24,server_1,VM0100,str-msn2700-01,Tests Mellanox SN2700 vms
vms-s6000-t0,vms2-1,t0,docker-ptf-sai-brcm,10.255.0.179/24,server_1,VM0100,lab-s6000-01,Tests Dell S6000 vms
vms-a7260-t0,vms3-1,t0-116,docker-ptf-sai-brcm,10.255.0.180/24,server_1,VM0100,lab-a7260-01,Tests Arista A7260 vms
vms-s6100-t0,vms4-1,t0-64,docker-ptf-sai-brcm,10.255.0.181/24,server_1,VM0100,lab-s6100-01,Tests Dell S6100 vms
vms-s6100-t1,vms4-1,t1-64,docker-ptf-sai-brcm,10.255.0.182/24,server_1,VM0100,lab-s6100-01,Tests Dell S6100 vms
vms-s6100-t1-lag,vms5-1,t1-64-lag,docker-ptf-sai-brcm,10.255.0.183/24,server_1,VM0100,lab-s6100-01,Tests Dell S6100 vms
