StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1041,Ethernet40,arc-switch1039,Ethernet11,40000,1691,Access
arc-switch1041,Ethernet44,arc-switch1039,Ethernet12,40000,1692,Access
arc-switch1041,Ethernet48,arc-switch1039,Ethernet13,40000,1693,Access
arc-switch1041,Ethernet52,arc-switch1039,Ethernet14,40000,1694,Access
arc-switch1041,Ethernet56,arc-switch1039,Ethernet15,40000,1695,Access
arc-switch1041,Ethernet60,arc-switch1039,Ethernet16,40000,1696,Access
arc-switch1041,Ethernet64,arc-switch1039,Ethernet17,40000,1697,Access
arc-switch1041,Ethernet68,arc-switch1039,Ethernet18,40000,1698,Access
arc-switch1041,Ethernet72,arc-switch1039,Ethernet19,40000,1699,Access
arc-switch1041,Ethernet76,arc-switch1039,Ethernet20,40000,1700,Access
arc-switch1041,Ethernet80,arc-switch1039,Ethernet21,40000,1701,Access
arc-switch1041,Ethernet84,arc-switch1039,Ethernet22,40000,1702,Access
arc-switch1041,Ethernet88,arc-switch1039,Ethernet23,40000,1703,Access
arc-switch1041,Ethernet92,arc-switch1039,Ethernet24,40000,1704,Access
arc-switch1041,Ethernet96,arc-switch1039,Ethernet25,40000,1705,Access
arc-switch1041,Ethernet100,arc-switch1039,Ethernet26,40000,1706,Access
arc-switch1041,Ethernet104,arc-switch1039,Ethernet27,40000,1707,Access
arc-switch1041,Ethernet108,arc-switch1039,Ethernet28,40000,1708,Access
arc-switch1041,Ethernet112,arc-switch1039,Ethernet29,40000,1709,Access
arc-switch1041,Ethernet116,arc-switch1039,Ethernet30,40000,1710,Access
arc-switch1041,Ethernet120,arc-switch1039,Ethernet31,40000,1711,Access
arc-switch1041,Ethernet124,arc-switch1039,Ethernet32,40000,1712,Access

arc-switch1038,Ethernet0,arc-switch1007,Ethernet1,100000,1681,Access
arc-switch1038,Ethernet4,arc-switch1007,Ethernet2,100000,1682,Access
arc-switch1038,Ethernet8,arc-switch1007,Ethernet3,100000,1683,Access
arc-switch1038,Ethernet12,arc-switch1007,Ethernet4,100000,1684,Access
arc-switch1038,Ethernet16,arc-switch1007,Ethernet5,100000,1685,Access
arc-switch1038,Ethernet20,arc-switch1007,Ethernet6,100000,1686,Access
arc-switch1038,Ethernet24,arc-switch1007,Ethernet7,100000,1687,Access
arc-switch1038,Ethernet28,arc-switch1007,Ethernet8,100000,1688,Access
arc-switch1038,Ethernet32,arc-switch1007,Ethernet9,100000,1689,Access
arc-switch1038,Ethernet36,arc-switch1007,Ethernet10,100000,1690,Access
arc-switch1038,Ethernet40,arc-switch1007,Ethernet11,100000,1691,Access
arc-switch1038,Ethernet44,arc-switch1007,Ethernet12,100000,1692,Access
arc-switch1038,Ethernet48,arc-switch1007,Ethernet13,100000,1693,Access
arc-switch1038,Ethernet52,arc-switch1007,Ethernet14,100000,1694,Access
arc-switch1038,Ethernet56,arc-switch1007,Ethernet15,100000,1695,Access
arc-switch1038,Ethernet60,arc-switch1007,Ethernet16,100000,1696,Access
arc-switch1038,Ethernet64,arc-switch1007,Ethernet17,25000,1697,Access
arc-switch1038,Ethernet68,arc-switch1007,Ethernet18,25000,1698,Access
arc-switch1038,Ethernet72,arc-switch1007,Ethernet19,25000,1699,Access
arc-switch1038,Ethernet76,arc-switch1007,Ethernet20,25000,1700,Access
arc-switch1038,Ethernet80,arc-switch1007,Ethernet21,25000,1701,Access
arc-switch1038,Ethernet84,arc-switch1007,Ethernet22,25000,1702,Access
arc-switch1038,Ethernet88,arc-switch1007,Ethernet23,100000,1703,Access
arc-switch1038,Ethernet92,arc-switch1007,Ethernet24,100000,1704,Access
arc-switch1038,Ethernet96,arc-switch1007,Ethernet25,100000,1705,Access
arc-switch1038,Ethernet100,arc-switch1007,Ethernet26,100000,1706,Access
arc-switch1038,Ethernet104,arc-switch1007,Ethernet27,100000,1707,Access
arc-switch1038,Ethernet108,arc-switch1007,Ethernet28,100000,1708,Access
arc-switch1038,Ethernet112,arc-switch1007,Ethernet29,100000,1709,Access
arc-switch1038,Ethernet116,arc-switch1007,Ethernet30,100000,1710,Access
arc-switch1038,Ethernet120,arc-switch1007,Ethernet31,25000,1711,Access
arc-switch1038,Ethernet124,arc-switch1007,Ethernet32,25000,1712,Access

arc-switch1025,Ethernet0,arc-switch1035,Ethernet1,40000,1681,Access
arc-switch1025,Ethernet4,arc-switch1035,Ethernet2,40000,1682,Access
arc-switch1025,Ethernet8,arc-switch1035,Ethernet3,40000,1683,Access
arc-switch1025,Ethernet12,arc-switch1035,Ethernet4,40000,1684,Access
arc-switch1025,Ethernet16,arc-switch1035,Ethernet5,40000,1685,Access
arc-switch1025,Ethernet20,arc-switch1035,Ethernet6,40000,1686,Access
arc-switch1025,Ethernet24,arc-switch1035,Ethernet7,40000,1687,Access
arc-switch1025,Ethernet28,arc-switch1035,Ethernet8,40000,1688,Access
arc-switch1025,Ethernet32,arc-switch1035,Ethernet9,40000,1689,Access
arc-switch1025,Ethernet36,arc-switch1035,Ethernet10,40000,1690,Access
arc-switch1025,Ethernet40,arc-switch1035,Ethernet11,40000,1691,Access
arc-switch1025,Ethernet44,arc-switch1035,Ethernet12,40000,1692,Access
arc-switch1025,Ethernet48,arc-switch1035,Ethernet13,40000,1693,Access
arc-switch1025,Ethernet52,arc-switch1035,Ethernet14,40000,1694,Access
arc-switch1025,Ethernet56,arc-switch1035,Ethernet15,40000,1695,Access
arc-switch1025,Ethernet60,arc-switch1035,Ethernet16,40000,1696,Access
arc-switch1025,Ethernet64,arc-switch1035,Ethernet17,40000,1697,Access
arc-switch1025,Ethernet68,arc-switch1035,Ethernet18,40000,1698,Access
arc-switch1025,Ethernet72,arc-switch1035,Ethernet19,40000,1699,Access
arc-switch1025,Ethernet76,arc-switch1035,Ethernet20,40000,1700,Access
arc-switch1025,Ethernet80,arc-switch1035,Ethernet21,40000,1701,Access
arc-switch1025,Ethernet84,arc-switch1035,Ethernet22,40000,1702,Access
arc-switch1025,Ethernet88,arc-switch1035,Ethernet23,40000,1703,Access
arc-switch1025,Ethernet92,arc-switch1035,Ethernet24,40000,1704,Access
arc-switch1025,Ethernet96,arc-switch1035,Ethernet25,40000,1705,Access
arc-switch1025,Ethernet100,arc-switch1035,Ethernet26,40000,1706,Access
arc-switch1025,Ethernet104,arc-switch1035,Ethernet27,40000,1707,Access
arc-switch1025,Ethernet108,arc-switch1035,Ethernet28,40000,1708,Access
arc-switch1025,Ethernet112,arc-switch1035,Ethernet29,40000,1709,Access
arc-switch1025,Ethernet116,arc-switch1035,Ethernet30,40000,1710,Access
arc-switch1025,Ethernet120,arc-switch1035,Ethernet31,40000,1711,Access
arc-switch1025,Ethernet124,arc-switch1035,Ethernet32,40000,1712,Access

arc-switch1004,Ethernet0,arc-switch1005,Ethernet1,40000,1681,Access
arc-switch1004,Ethernet2,arc-switch1005,Ethernet2,40000,1682,Access
arc-switch1004,Ethernet4,arc-switch1005,Ethernet3,40000,1683,Access
arc-switch1004,Ethernet6,arc-switch1005,Ethernet4,40000,1684,Access
arc-switch1004,Ethernet8,arc-switch1005,Ethernet5,40000,1685,Access
arc-switch1004,Ethernet10,arc-switch1005,Ethernet6,40000,1686,Access
arc-switch1004,Ethernet12,arc-switch1005,Ethernet7,40000,1687,Access
arc-switch1004,Ethernet14,arc-switch1005,Ethernet8,40000,1688,Access
arc-switch1004,Ethernet16,arc-switch1005,Ethernet9,40000,1689,Access
arc-switch1004,Ethernet18,arc-switch1005,Ethernet10,40000,1690,Access
arc-switch1004,Ethernet20,arc-switch1005,Ethernet11,40000,1691,Access
arc-switch1004,Ethernet22,arc-switch1005,Ethernet12,40000,1692,Access
arc-switch1004,Ethernet24,arc-switch1005,Ethernet13,40000,1693,Access
arc-switch1004,Ethernet28,arc-switch1005,Ethernet14,40000,1694,Access
arc-switch1004,Ethernet32,arc-switch1005,Ethernet15,40000,1695,Access
arc-switch1004,Ethernet36,arc-switch1005,Ethernet16,40000,1696,Access
arc-switch1004,Ethernet40,arc-switch1005,Ethernet17,10000,1697,Access
arc-switch1004,Ethernet42,arc-switch1005,Ethernet18,10000,1698,Access
arc-switch1004,Ethernet44,arc-switch1005,Ethernet19,10000,1699,Access
arc-switch1004,Ethernet46,arc-switch1005,Ethernet20,10000,1700,Access
arc-switch1004,Ethernet48,arc-switch1005,Ethernet21,40000,1701,Access
arc-switch1004,Ethernet50,arc-switch1005,Ethernet22,40000,1702,Access
arc-switch1004,Ethernet52,arc-switch1005,Ethernet23,40000,1703,Access
arc-switch1004,Ethernet54,arc-switch1005,Ethernet24,40000,1704,Access
arc-switch1004,Ethernet56,arc-switch1005,Ethernet25,40000,1705,Access
arc-switch1004,Ethernet58,arc-switch1005,Ethernet26,40000,1706,Access
arc-switch1004,Ethernet60,arc-switch1005,Ethernet27,40000,1707,Access
arc-switch1004,Ethernet62,arc-switch1005,Ethernet28,40000,1708,Access
arc-switch1004,Ethernet64,arc-switch1005,Ethernet29,40000,1709,Access
arc-switch1004,Ethernet68,arc-switch1005,Ethernet30,40000,1710,Access
arc-switch1004,Ethernet70,arc-switch1005,Ethernet31,40000,1711,Access
arc-switch1004,Ethernet72,arc-switch1005,Ethernet32,40000,1712,Access
arc-switch1004,Ethernet74,arc-switch1005,Ethernet9,40000,1689,Access
arc-switch1004,Ethernet76,arc-switch1005,Ethernet10,40000,1690,Access
arc-switch1004,Ethernet78,arc-switch1005,Ethernet11,40000,1691,Access
arc-switch1004,Ethernet80,arc-switch1005,Ethernet12,40000,1692,Access
arc-switch1004,Ethernet82,arc-switch1005,Ethernet13,40000,1693,Access
arc-switch1004,Ethernet84,arc-switch1005,Ethernet14,40000,1694,Access
arc-switch1004,Ethernet86,arc-switch1005,Ethernet15,40000,1695,Access
arc-switch1004,Ethernet88,arc-switch1005,Ethernet16,40000,1696,Access
arc-switch1004,Ethernet92,arc-switch1005,Ethernet17,10000,1697,Access
arc-switch1004,Ethernet96,arc-switch1005,Ethernet18,10000,1698,Access
arc-switch1004,Ethernet100,arc-switch1005,Ethernet19,10000,1699,Access
arc-switch1004,Ethernet104,arc-switch1005,Ethernet20,10000,1700,Access
arc-switch1004,Ethernet106,arc-switch1005,Ethernet21,40000,1701,Access
arc-switch1004,Ethernet108,arc-switch1005,Ethernet22,40000,1702,Access
arc-switch1004,Ethernet110,arc-switch1005,Ethernet23,40000,1703,Access
arc-switch1004,Ethernet112,arc-switch1005,Ethernet24,40000,1704,Access
arc-switch1004,Ethernet114,arc-switch1005,Ethernet25,40000,1705,Access
arc-switch1004,Ethernet116,arc-switch1005,Ethernet26,40000,1706,Access
arc-switch1004,Ethernet118,arc-switch1005,Ethernet27,40000,1707,Access
arc-switch1004,Ethernet120,arc-switch1005,Ethernet28,40000,1708,Access
arc-switch1004,Ethernet122,arc-switch1005,Ethernet29,40000,1709,Access
arc-switch1004,Ethernet124,arc-switch1005,Ethernet30,40000,1710,Access
arc-switch1004,Ethernet126,arc-switch1005,Ethernet31,40000,1711,Access

r-anaconda-10,Ethernet0,arc-switch1016,Ethernet1,40000,1681,Access
r-anaconda-10,Ethernet4,arc-switch1016,Ethernet2,40000,1682,Access
r-anaconda-10,Ethernet8,arc-switch1016,Ethernet3,40000,1683,Access
r-anaconda-10,Ethernet12,arc-switch1016,Ethernet4,40000,1684,Access
r-anaconda-10,Ethernet16,arc-switch1016,Ethernet5,40000,1685,Access
r-anaconda-10,Ethernet20,arc-switch1016,Ethernet6,40000,1686,Access
r-anaconda-10,Ethernet24,arc-switch1016,Ethernet7,40000,1687,Access
r-anaconda-10,Ethernet28,arc-switch1016,Ethernet8,40000,1688,Access
r-anaconda-10,Ethernet32,arc-switch1016,Ethernet9,40000,1689,Access
r-anaconda-10,Ethernet36,arc-switch1016,Ethernet10,40000,1690,Access
r-anaconda-10,Ethernet40,arc-switch1016,Ethernet11,40000,1691,Access
r-anaconda-10,Ethernet44,arc-switch1016,Ethernet12,40000,1692,Access
r-anaconda-10,Ethernet48,arc-switch1016,Ethernet13,40000,1693,Access
r-anaconda-10,Ethernet52,arc-switch1016,Ethernet14,40000,1694,Access
r-anaconda-10,Ethernet56,arc-switch1016,Ethernet15,40000,1695,Access
r-anaconda-10,Ethernet60,arc-switch1016,Ethernet16,40000,1696,Access
r-anaconda-10,Ethernet64,arc-switch1016,Ethernet17,40000,1697,Access
r-anaconda-10,Ethernet68,arc-switch1016,Ethernet18,40000,1698,Access
r-anaconda-10,Ethernet72,arc-switch1016,Ethernet19,40000,1699,Access
r-anaconda-10,Ethernet76,arc-switch1016,Ethernet20,40000,1700,Access
r-anaconda-10,Ethernet80,arc-switch1016,Ethernet21,40000,1701,Access
r-anaconda-10,Ethernet84,arc-switch1016,Ethernet22,40000,1702,Access
r-anaconda-10,Ethernet88,arc-switch1016,Ethernet23,40000,1703,Access
r-anaconda-10,Ethernet92,arc-switch1016,Ethernet24,40000,1704,Access
r-anaconda-10,Ethernet96,arc-switch1016,Ethernet25,40000,1705,Access
r-anaconda-10,Ethernet100,arc-switch1016,Ethernet26,40000,1706,Access
r-anaconda-10,Ethernet104,arc-switch1016,Ethernet27,40000,1707,Access
r-anaconda-10,Ethernet108,arc-switch1016,Ethernet28,40000,1708,Access
r-anaconda-10,Ethernet112,arc-switch1016,Ethernet29,40000,1709,Access
r-anaconda-10,Ethernet116,arc-switch1016,Ethernet30,40000,1710,Access
r-anaconda-10,Ethernet120,arc-switch1016,Ethernet31,1000,1711,Access
r-anaconda-10,Ethernet124,arc-switch1016,Ethernet32,1000,1712,Access

r-tigris-04,Ethernet0,r-tigris-17,Ethernet1,50000,1681,Access
r-tigris-04,Ethernet2,r-tigris-17,Ethernet2,50000,1682,Access
r-tigris-04,Ethernet4,r-tigris-17,Ethernet3,50000,1683,Access
r-tigris-04,Ethernet6,r-tigris-17,Ethernet4,50000,1684,Access
r-tigris-04,Ethernet8,r-tigris-17,Ethernet5,50000,1685,Access
r-tigris-04,Ethernet10,r-tigris-17,Ethernet6,50000,1686,Access
r-tigris-04,Ethernet12,r-tigris-17,Ethernet7,50000,1687,Access
r-tigris-04,Ethernet16,r-tigris-17,Ethernet8,50000,1688,Access
r-tigris-04,Ethernet18,r-tigris-17,Ethernet9,50000,1689,Access
r-tigris-04,Ethernet20,r-tigris-17,Ethernet10,50000,1690,Access
r-tigris-04,Ethernet22,r-tigris-17,Ethernet11,50000,1691,Access
r-tigris-04,Ethernet24,r-tigris-17,Ethernet12,50000,1692,Access
r-tigris-04,Ethernet26,r-tigris-17,Ethernet13,50000,1693,Access
r-tigris-04,Ethernet28,r-tigris-17,Ethernet14,50000,1694,Access
r-tigris-04,Ethernet32,r-tigris-17,Ethernet15,50000,1695,Access
r-tigris-04,Ethernet34,r-tigris-17,Ethernet16,50000,1696,Access
r-tigris-04,Ethernet36,r-tigris-17,Ethernet17,50000,1697,Access
r-tigris-04,Ethernet38,r-tigris-17,Ethernet18,50000,1698,Access
r-tigris-04,Ethernet40,r-tigris-17,Ethernet19,50000,1699,Access
r-tigris-04,Ethernet42,r-tigris-17,Ethernet20,50000,1700,Access
r-tigris-04,Ethernet44,r-tigris-17,Ethernet21,50000,1701,Access
r-tigris-04,Ethernet48,r-tigris-17,Ethernet22,50000,1702,Access
r-tigris-04,Ethernet50,r-tigris-17,Ethernet23,50000,1703,Access
r-tigris-04,Ethernet52,r-tigris-17,Ethernet24,50000,1704,Access
r-tigris-04,Ethernet54,r-tigris-17,Ethernet25,50000,1705,Access
r-tigris-04,Ethernet56,r-tigris-17,Ethernet26,50000,1706,Access
r-tigris-04,Ethernet58,r-tigris-17,Ethernet27,50000,1707,Access
r-tigris-04,Ethernet60,r-tigris-17,Ethernet28,50000,1708,Access
r-tigris-04,Ethernet64,r-tigris-17,Ethernet29,50000,1709,Access
r-tigris-04,Ethernet66,r-tigris-17,Ethernet30,50000,1710,Access
r-tigris-04,Ethernet68,r-tigris-17,Ethernet31,50000,1711,Access
r-tigris-04,Ethernet70,r-tigris-17,Ethernet32,50000,1712,Access
r-tigris-04,Ethernet72,r-tigris-17,Ethernet33,50000,1713,Access
r-tigris-04,Ethernet74,r-tigris-17,Ethernet34,50000,1714,Access
r-tigris-04,Ethernet76,r-tigris-17,Ethernet35,50000,1715,Access
r-tigris-04,Ethernet80,r-tigris-17,Ethernet36,50000,1716,Access
r-tigris-04,Ethernet82,r-tigris-17,Ethernet37,50000,1717,Access
r-tigris-04,Ethernet84,r-tigris-17,Ethernet38,50000,1718,Access
r-tigris-04,Ethernet86,r-tigris-17,Ethernet39,50000,1719,Access
r-tigris-04,Ethernet88,r-tigris-17,Ethernet40,50000,1720,Access
r-tigris-04,Ethernet90,r-tigris-17,Ethernet41,50000,1721,Access
r-tigris-04,Ethernet92,r-tigris-17,Ethernet42,50000,1722,Access
r-tigris-04,Ethernet96,r-tigris-17,Ethernet43,50000,1723,Access
r-tigris-04,Ethernet100,r-tigris-17,Ethernet44,50000,1724,Access
r-tigris-04,Ethernet104,r-tigris-17,Ethernet45,50000,1725,Access
r-tigris-04,Ethernet106,r-tigris-17,Ethernet46,50000,1726,Access
r-tigris-04,Ethernet108,r-tigris-17,Ethernet47,50000,1727,Access
r-tigris-04,Ethernet112,r-tigris-17,Ethernet48,50000,1728,Access
r-tigris-04,Ethernet116,r-tigris-17,Ethernet49,50000,1729,Access
r-tigris-04,Ethernet120,r-tigris-17,Ethernet50,50000,1730,Access
r-tigris-04,Ethernet122,r-tigris-17,Ethernet51,50000,1731,Access
r-tigris-04,Ethernet124,r-tigris-17,Ethernet52,50000,1732,Access
r-tigris-04,Ethernet128,r-tigris-17,Ethernet53,50000,1733,Access
r-tigris-04,Ethernet132,r-tigris-17,Ethernet54,50000,1734,Access
r-tigris-04,Ethernet136,r-tigris-17,Ethernet55,50000,1735,Access
r-tigris-04,Ethernet138,r-tigris-17,Ethernet56,50000,1736,Access
r-tigris-04,Ethernet140,r-tigris-17,Ethernet57,50000,1737,Access
r-tigris-04,Ethernet144,r-tigris-17,Ethernet58,50000,1738,Access
r-tigris-04,Ethernet148,r-tigris-17,Ethernet59,50000,1739,Access
r-tigris-04,Ethernet152,r-tigris-17,Ethernet60,50000,1740,Access
r-tigris-04,Ethernet154,r-tigris-17,Ethernet61,50000,1741,Access
r-tigris-04,Ethernet156,r-tigris-17,Ethernet62,50000,1742,Access
r-tigris-04,Ethernet160,r-tigris-17,Ethernet63,50000,1743,Access
r-tigris-04,Ethernet162,r-tigris-17,Ethernet64,50000,1744,Access
r-tigris-04,Ethernet164,r-tigris-17,Ethernet65,50000,1745,Access
r-tigris-04,Ethernet166,r-tigris-17,Ethernet66,50000,1746,Access
r-tigris-04,Ethernet168,r-tigris-17,Ethernet67,50000,1747,Access
r-tigris-04,Ethernet170,r-tigris-17,Ethernet68,50000,1748,Access
r-tigris-04,Ethernet172,r-tigris-17,Ethernet69,50000,1749,Access
r-tigris-04,Ethernet176,r-tigris-17,Ethernet70,50000,1750,Access
r-tigris-04,Ethernet178,r-tigris-17,Ethernet71,50000,1751,Access
r-tigris-04,Ethernet180,r-tigris-17,Ethernet72,50000,1752,Access
r-tigris-04,Ethernet182,r-tigris-17,Ethernet73,50000,1753,Access
r-tigris-04,Ethernet184,r-tigris-17,Ethernet74,50000,1754,Access
r-tigris-04,Ethernet186,r-tigris-17,Ethernet75,50000,1755,Access
r-tigris-04,Ethernet188,r-tigris-17,Ethernet76,50000,1756,Access
r-tigris-04,Ethernet192,r-tigris-17,Ethernet77,50000,1757,Access
r-tigris-04,Ethernet196,r-tigris-17,Ethernet78,50000,1758,Access
r-tigris-04,Ethernet198,r-tigris-17,Ethernet79,50000,1759,Access
r-tigris-04,Ethernet200,r-tigris-17,Ethernet80,50000,1760,Access
r-tigris-04,Ethernet204,r-tigris-17,Ethernet81,50000,1761,Access
r-tigris-04,Ethernet208,r-tigris-17,Ethernet82,50000,1762,Access
r-tigris-04,Ethernet212,r-tigris-17,Ethernet83,50000,1763,Access
r-tigris-04,Ethernet214,r-tigris-17,Ethernet84,50000,1764,Access
r-tigris-04,Ethernet216,r-tigris-17,Ethernet85,50000,1765,Access
r-tigris-04,Ethernet220,r-tigris-17,Ethernet86,50000,1766,Access
r-tigris-04,Ethernet224,r-tigris-17,Ethernet87,50000,1767,Access
r-tigris-04,Ethernet228,r-tigris-17,Ethernet88,50000,1768,Access
r-tigris-04,Ethernet230,r-tigris-17,Ethernet89,50000,1769,Access
r-tigris-04,Ethernet232,r-tigris-17,Ethernet90,50000,1770,Access
r-tigris-04,Ethernet236,r-tigris-17,Ethernet91,50000,1771,Access
r-tigris-04,Ethernet240,r-tigris-17,Ethernet92,50000,1772,Access
r-tigris-04,Ethernet244,r-tigris-17,Ethernet93,50000,1773,Access
r-tigris-04,Ethernet246,r-tigris-17,Ethernet94,50000,1774,Access
r-tigris-04,Ethernet248,r-tigris-17,Ethernet95,50000,1775,Access
r-tigris-04,Ethernet252,r-tigris-17,Ethernet96,50000,1776,Access
r-tigris-17,Ethernet97,r-sonic-04,p4p1,50000,1681-1776,Trunk

r-tigris-13,Ethernet0,r-anaconda-43,Ethernet1,10000,1681,Access
r-tigris-13,Ethernet4,r-anaconda-43,Ethernet2,10000,1682,Access
r-tigris-13,Ethernet8,r-anaconda-43,Ethernet3,10000,1683,Access
r-tigris-13,Ethernet12,r-anaconda-43,Ethernet4,10000,1684,Access
r-tigris-13,Ethernet16,r-anaconda-43,Ethernet5,10000,1685,Access
r-tigris-13,Ethernet20,r-anaconda-43,Ethernet6,10000,1686,Access
r-tigris-13,Ethernet24,r-anaconda-43,Ethernet7,10000,1687,Access
r-tigris-13,Ethernet28,r-anaconda-43,Ethernet8,10000,1688,Access
r-tigris-13,Ethernet32,r-anaconda-43,Ethernet9,50000,1689,Access
