StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1041,Ethernet40,arc-switch1039,Ethernet11,40000,1691,Access
arc-switch1041,Ethernet44,arc-switch1039,Ethernet12,40000,1692,Access
arc-switch1041,Ethernet48,arc-switch1039,Ethernet13,40000,1693,Access
arc-switch1041,Ethernet52,arc-switch1039,Ethernet14,40000,1694,Access
arc-switch1041,Ethernet56,arc-switch1039,Ethernet15,40000,1695,Access
arc-switch1041,Ethernet60,arc-switch1039,Ethernet16,40000,1696,Access
arc-switch1041,Ethernet64,arc-switch1039,Ethernet17,40000,1697,Access
arc-switch1041,Ethernet68,arc-switch1039,Ethernet18,40000,1698,Access
arc-switch1041,Ethernet72,arc-switch1039,Ethernet19,40000,1699,Access
arc-switch1041,Ethernet76,arc-switch1039,Ethernet20,40000,1700,Access
arc-switch1041,Ethernet80,arc-switch1039,Ethernet21,40000,1701,Access
arc-switch1041,Ethernet84,arc-switch1039,Ethernet22,40000,1702,Access
arc-switch1041,Ethernet88,arc-switch1039,Ethernet23,40000,1703,Access
arc-switch1041,Ethernet92,arc-switch1039,Ethernet24,40000,1704,Access
arc-switch1041,Ethernet96,arc-switch1039,Ethernet25,40000,1705,Access
arc-switch1041,Ethernet100,arc-switch1039,Ethernet26,40000,1706,Access
arc-switch1041,Ethernet104,arc-switch1039,Ethernet27,40000,1707,Access
arc-switch1041,Ethernet108,arc-switch1039,Ethernet28,40000,1708,Access
arc-switch1041,Ethernet112,arc-switch1039,Ethernet29,40000,1709,Access
arc-switch1041,Ethernet116,arc-switch1039,Ethernet30,40000,1710,Access
arc-switch1041,Ethernet120,arc-switch1039,Ethernet31,40000,1711,Access
arc-switch1041,Ethernet124,arc-switch1039,Ethernet32,40000,1712,Access

arc-switch1038,Ethernet0,arc-switch1007,Ethernet1,40000,1681,Access
arc-switch1038,Ethernet4,arc-switch1007,Ethernet2,40000,1682,Access
arc-switch1038,Ethernet8,arc-switch1007,Ethernet3,40000,1683,Access
arc-switch1038,Ethernet12,arc-switch1007,Ethernet4,40000,1684,Access
arc-switch1038,Ethernet16,arc-switch1007,Ethernet5,40000,1685,Access
arc-switch1038,Ethernet20,arc-switch1007,Ethernet6,40000,1686,Access
arc-switch1038,Ethernet24,arc-switch1007,Ethernet7,40000,1687,Access
arc-switch1038,Ethernet28,arc-switch1007,Ethernet8,40000,1688,Access
arc-switch1038,Ethernet32,arc-switch1007,Ethernet9,40000,1689,Access
arc-switch1038,Ethernet36,arc-switch1007,Ethernet10,40000,1690,Access
arc-switch1038,Ethernet40,arc-switch1007,Ethernet11,40000,1691,Access
arc-switch1038,Ethernet44,arc-switch1007,Ethernet12,40000,1692,Access
arc-switch1038,Ethernet48,arc-switch1007,Ethernet13,40000,1693,Access
arc-switch1038,Ethernet52,arc-switch1007,Ethernet14,40000,1694,Access
arc-switch1038,Ethernet56,arc-switch1007,Ethernet15,40000,1695,Access
arc-switch1038,Ethernet60,arc-switch1007,Ethernet16,40000,1696,Access
arc-switch1038,Ethernet64,arc-switch1007,Ethernet17,40000,1697,Access
arc-switch1038,Ethernet68,arc-switch1007,Ethernet18,40000,1698,Access
arc-switch1038,Ethernet72,arc-switch1007,Ethernet19,40000,1699,Access
arc-switch1038,Ethernet76,arc-switch1007,Ethernet20,40000,1700,Access
arc-switch1038,Ethernet80,arc-switch1007,Ethernet21,40000,1701,Access
arc-switch1038,Ethernet84,arc-switch1007,Ethernet22,40000,1702,Access
arc-switch1038,Ethernet88,arc-switch1007,Ethernet23,40000,1703,Access
arc-switch1038,Ethernet92,arc-switch1007,Ethernet24,40000,1704,Access
arc-switch1038,Ethernet96,arc-switch1007,Ethernet25,40000,1705,Access
arc-switch1038,Ethernet100,arc-switch1007,Ethernet26,40000,1706,Access
arc-switch1038,Ethernet104,arc-switch1007,Ethernet27,40000,1707,Access
arc-switch1038,Ethernet108,arc-switch1007,Ethernet28,40000,1708,Access
arc-switch1038,Ethernet112,arc-switch1007,Ethernet29,40000,1709,Access
arc-switch1038,Ethernet116,arc-switch1007,Ethernet30,40000,1710,Access
arc-switch1038,Ethernet120,arc-switch1007,Ethernet31,40000,1711,Access
arc-switch1038,Ethernet124,arc-switch1007,Ethernet32,40000,1712,Access

